ethnic,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
Chinese,0.22916666666666666,0.3333333333333333,0.20833333333333334,0.14583333333333334,0.08333333333333333,,
Cook Islands Māori,0.16,0.32,0.21333333333333335,0.24,0.06666666666666667,,
General,0.23760932944606414,0.2886297376093295,0.17784256559766765,0.2230320699708455,0.0728862973760933,,
Indian,0.17307692307692307,0.38461538461538464,0.17307692307692307,0.17307692307692307,0.09615384615384616,,
MELA,0.22727272727272727,0.2727272727272727,0.25,0.22727272727272727,0.022727272727272728,,
New Zealand European,0.1566265060240964,0.3433734939759036,0.19879518072289157,0.24096385542168675,0.060240963855421686,,
Niuean,0.22,0.28,0.2,0.28,0.02,,
Other,0.1875,0.2916666666666667,0.10416666666666667,0.3333333333333333,0.08333333333333333,,
Samoan,0.14285714285714285,0.2857142857142857,0.23469387755102042,0.2653061224489796,0.07142857142857142,,
Tongan,0.15,0.3,0.225,0.2875,0.0375,,
Māori,0.15204678362573099,0.30994152046783624,0.21637426900584794,0.2573099415204678,0.06432748538011696,,
