ethnic,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
Chinese,0.2777777777777778,0.14814814814814814,0.1111111111111111,0.2037037037037037,0.07407407407407407,0.09259259259259259,0.07407407407407407
Cook Island Māori,0.3125,0.1,0.1,0.1875,0.075,0.15,0.0625
General,0.28440366972477066,0.19397116644823068,0.13368283093053734,0.20052424639580602,0.045871559633027525,0.07077326343381389,0.05242463958060288
Indian,0.24561403508771928,0.12280701754385964,0.08771929824561403,0.22807017543859648,0.08771929824561403,0.10526315789473684,0.07017543859649122
MELA,0.22448979591836735,0.12244897959183673,0.10204081632653061,0.24489795918367346,0.08163265306122448,0.10204081632653061,0.10204081632653061
New Zealand European,0.2802197802197802,0.15384615384615385,0.11538461538461539,0.19230769230769232,0.07142857142857142,0.0989010989010989,0.06593406593406594
Niuean,0.25925925925925924,0.1111111111111111,0.09259259259259259,0.16666666666666666,0.1111111111111111,0.14814814814814814,0.09259259259259259
Other,0.2777777777777778,0.2037037037037037,0.09259259259259259,0.2037037037037037,0.037037037037037035,0.05555555555555555,0.09259259259259259
Samoan,0.27884615384615385,0.1346153846153846,0.08653846153846154,0.20192307692307693,0.08653846153846154,0.14423076923076922,0.04807692307692308
Tongan,0.3218390804597701,0.10344827586206896,0.11494252873563218,0.14942528735632185,0.08045977011494253,0.16091954022988506,0.05747126436781609
māori,0.25396825396825395,0.13227513227513227,0.12698412698412698,0.20105820105820105,0.07407407407407407,0.12169312169312169,0.07407407407407407
