,Percentage,Sector changes
0,0.6371191135734072,Collaboration between organisations
0,0.3379501385041551,Sector wide leadership to provide voice and influence
0,0.37950138504155123,Strengthening financial and management knowledge in the sector
0,0.40443213296398894,Strengthening governance knowledge and skills in the sector
0,0.29362880886426596,Access to information and data in one place
0,0.6426592797783933,Funding to cover salaries and operational costs
0,0.24930747922437674,Digital marketing and online promotion
0,0.23268698060941828,Using online tools
0,0.19390581717451524,Delivering services digitally
0,0.4099722991689751,Community-led development
0,0.16066481994459833,Mergers of organisations
0,0.0332409972299169,None of the above
