Service Type,More than one year,Six to twelve months,Four to five months,Two to three months,Up to one month,None of the above,I'm not sure
Alcohol and/or other drugs,,,0.6666666666666666,,0.3333333333333333,,
Community and social services,0.14814814814814814,0.2857142857142857,0.21693121693121692,0.2804232804232804,0.06878306878306878,,
"Culture, arts and heritage",0.26506024096385544,0.26506024096385544,0.1686746987951807,0.1686746987951807,0.13253012048192772,,
Development and housing,,,0.25,0.5,0.25,,
Disability services,0.16666666666666666,0.2857142857142857,0.19047619047619047,0.35714285714285715,,,
Education and research,0.30985915492957744,0.323943661971831,0.14084507042253522,0.16901408450704225,0.056338028169014086,,
Employment,0.16666666666666666,0.5,,0.16666666666666666,0.16666666666666666,,
Environment,0.3,0.26666666666666666,0.2,0.13333333333333333,0.1,,
Faith-based,0.26666666666666666,0.4,,0.3333333333333333,,,
Family services,0.21428571428571427,0.2857142857142857,0.10714285714285714,0.21428571428571427,0.17857142857142858,,
"Grant making, fundraising and voluntarism promotion",0.52,0.28,0.12,0.08,,,
Hauora/Health,0.3181818181818182,0.25,0.20454545454545456,0.20454545454545456,0.022727272727272728,,
Housing support,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,
"Iwi, marae and Maori development",0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,,
Justice,0.3333333333333333,,,0.6666666666666666,,,
Kaumātua/Elderly Services,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,,
Mental health,0.0625,0.1875,0.3125,0.25,0.1875,,
Migrant and refugee background communities,0.125,0.625,0.125,0.125,,,
Other (please specify),0.21951219512195122,0.3048780487804878,0.13414634146341464,0.24390243902439024,0.0975609756097561,,
Pacifica community development,,,,1.0,,,
Rangatahi/Youth development,0.03333333333333333,0.36666666666666664,0.3,0.23333333333333334,0.06666666666666667,,
Sexual violence response or prevention,1.0,,,,,,
Sport and recreation,0.2602739726027397,0.3150684931506849,0.1232876712328767,0.2602739726027397,0.0410958904109589,,
