Service Type,Substantial cuts,Moderate cuts,Small cuts,Same level of services,Small increases,Moderate increases,Substantial increases
Alcohol and/or other drugs,0.3333333333333333,,0.6666666666666666,,,,
Community and social services,0.255,0.16,0.095,0.225,0.05,0.125,0.09
"Culture, arts and heritage",0.5368421052631579,0.24210526315789474,0.08421052631578947,0.09473684210526316,0.021052631578947368,0.010526315789473684,0.010526315789473684
Development and housing,0.25,,0.25,0.25,,0.25,
Disability services,0.34782608695652173,0.2608695652173913,0.10869565217391304,0.06521739130434782,0.08695652173913043,0.10869565217391304,0.021739130434782608
Education and research,0.19230769230769232,0.15384615384615385,0.20512820512820512,0.3076923076923077,0.0641025641025641,0.0641025641025641,0.01282051282051282
Employment,0.3333333333333333,0.5,,0.16666666666666666,,,
Environment,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.23529411764705882,,0.058823529411764705,
Faith-based,0.3125,0.375,0.125,0.0625,0.0625,,0.0625
Family services,0.10344827586206896,0.13793103448275862,0.20689655172413793,0.3103448275862069,0.06896551724137931,0.10344827586206896,0.06896551724137931
"Grant making, fundraising and voluntarism promotion",,0.11538461538461539,0.19230769230769232,0.4230769230769231,0.07692307692307693,0.15384615384615385,0.038461538461538464
Hauora/Health,0.2,0.18,0.24,0.2,0.04,0.1,0.04
Housing support,,,0.16666666666666666,0.5,0.3333333333333333,,
"Iwi, marae and Maori development",0.6,0.1,,,,0.2,0.1
Justice,0.5,,0.25,0.25,,,
Kaumātua/Elderly Services,0.38461538461538464,0.23076923076923078,,0.15384615384615385,0.07692307692307693,,0.15384615384615385
Mental health,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705
Migrant and refugee background communities,0.2222222222222222,,0.2222222222222222,0.2222222222222222,,0.3333333333333333,
Other (please specify),0.23076923076923078,0.12087912087912088,0.04395604395604396,0.2857142857142857,0.07692307692307693,0.08791208791208792,0.15384615384615385
Pacifica community development,0.6666666666666666,,,0.3333333333333333,,,
Rangatahi/Youth development,0.1875,0.3125,0.1875,0.15625,0.125,0.03125,
Sexual violence response or prevention,,1.0,,,,,
Sport and recreation,0.3291139240506329,0.26582278481012656,0.189873417721519,0.189873417721519,0.012658227848101266,0.012658227848101266,
